question,tag,top1_neighbor_tag,top1_neighbor_question,top1_correct,own_share_top_k,neighbor_tag_dist,audit_top_k
এনআইডি অনলাইন লকড অ্যাকাউন্ট কিভাবে ঠিক করব?,account_locked,account_locked,"এনআইডি অনলাইনে একাউন্ট লক হয়েছে, কিভাবে খুলবো?",True,0.9,"{""account_locked"": 9, ""account_locked_unlock_request"": 1}",10
এনআইডি লগইন বার্তা “অ্যাকাউন্ট লকড” সমাধান কীভাবে?,account_locked,account_locked,এনআইডি লগইনে “আপনার অ্যাকাউন্ট লকড” বার্তা আসছে সমাধান কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,account_locked,account_locked,"এনআইডি অনলাইন পোর্টালে “আপনার একাউন্ট লক করা হয়েছে” মেসেজ দেখায়, করণীয় কি?",True,1.0,"{""account_locked"": 10}",10
"এনআইডি পোর্টালে একাউন্ট লক হয়েছে, ঠিক করার উপায় কী?",account_locked,account_locked,"অ্যাকাউন্ট লক হয়ে এনআইডি পোর্টালে ঢুকতে পারছি না, কিভাবে সমাধান করব?",True,1.0,"{""account_locked"": 10}",10
NID সাইটে অ্যাকাউন্ট লকড পরবর্তী করণীয় কী?,account_locked,account_locked,NID পোর্টালে “Your account is locked” পরবর্তী কি করব?,True,1.0,"{""account_locked"": 10}",10
"এনআইডি অনলাইন পোর্টালে “আপনার একাউন্ট লক করা হয়েছে” মেসেজ দেখায়, করণীয় কি?",account_locked,account_locked,এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডি লগইনে “আপনার অ্যাকাউন্ট লকড” বার্তা আসছে সমাধান কী?,account_locked,account_locked,এনআইডি লগইন বার্তা “অ্যাকাউন্ট লকড” সমাধান কীভাবে?,True,1.0,"{""account_locked"": 10}",10
এনআইডি অনলাইন অ্যাকাউন্ট লক হলে কী ধরণের পদক্ষেপ নিতে হবে?,account_locked,account_locked,এনআইডি পোর্টালে “অ্যাকাউন্টটি লক করা” দেখালে কি করতে হবে?,True,1.0,"{""account_locked"": 10}",10
অ্যাকাউন্ট লক হওয়ায় এনআইডি অনলাইনে ঢুকতে পারছি না কি করতে হবে?,account_locked,account_locked,এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডি একাউন্ট লক দেখালে কি করতে হবে?,account_locked,account_locked,"এনআইডি পোর্টালে একাউন্ট লক দেখাচ্ছে, এখন কী করবো?",True,1.0,"{""account_locked"": 10}",10
"অ্যাকাউন্ট লক হয়ে এনআইডি পোর্টালে ঢুকতে পারছি না, কিভাবে সমাধান করব?",account_locked,account_locked,"এনআইডি পোর্টালে একাউন্ট লক হয়েছে, ঠিক করার উপায় কী?",True,1.0,"{""account_locked"": 10}",10
এনআইডি পোর্টালে “অ্যাকাউন্টটি লক করা” দেখালে কি করতে হবে?,account_locked,account_locked,"এনআইডি অনলাইন পোর্টালে “আপনার একাউন্ট লক করা হয়েছে” মেসেজ দেখায়, করণীয় কি?",True,1.0,"{""account_locked"": 10}",10
"এনআইডি পোর্টালে একাউন্ট লক দেখাচ্ছে, এখন কী করবো?",account_locked,account_locked,এনআইডি একাউন্ট লক দেখালে কি করতে হবে?,True,1.0,"{""account_locked"": 10}",10
এনআইডি পোর্টালে অ্যাকাউন্ট লক হয়ে গেলে কোথা থেকে শুরু করব?,account_locked,account_locked,এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডি অ্যাকাউন্ট লক; আনলকের জন্য কী করতে হবে?,account_locked,account_locked,"আমার এনআইডি একাউন্ট লক হয়ে গেছে, কিভাবে আনলক করবো?",True,1.0,"{""account_locked"": 10}",10
National ID অনলাইন সেবায় অ্যাকাউন্ট লক; সমাধান কীভাবে পাবো?,account_locked,account_locked,জাতীয় পরিচয় অনলাইন সেবায় অ্যাকাউন্ট লক দেখালে কীভাবে ঠিক করা যায়?,True,1.0,"{""account_locked"": 10}",10
এনআইডি ওয়েবসাইটে আমার অ্যাকাউন্টে লক পড়ে গেছে; কীভাবে আনলক করব?,account_locked,account_locked,"আমার এনআইডি একাউন্ট লক হয়ে গেছে, কিভাবে আনলক করবো?",True,0.8,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
এনআইডি সার্ভিসে লগইন লক হলে করণীয় বলবেন?,account_locked,account_locked,"আমার এনআইডি লগইন হচ্ছে না, একাউন্ট লক হয়েছে।",True,0.9,"{""account_locked"": 9, ""account_locked_unlock_request"": 1}",10
নির্বাচন কমিশনের সাইটে এনআইডি অ্যাকাউন্ট লক; সমাধান কীভাবে?,account_locked,account_locked,নির্বাচন কমিশনের এনআইডি লগইন লক হয়ে গেলে সমাধান কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডিতে “Your account has been locked” আমাকে কী করতে হবে?,account_locked,account_locked,এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,True,1.0,"{""account_locked"": 10}",10
এনআইডি ওয়েব পোর্টালে লক এসেছে এই সমস্যার করণীয় কী?,account_locked,account_locked,এনআইডি ওয়েব পোর্টালে লগইন বারণ লক সমস্যা কিভাবে সলভ করব?,True,1.0,"{""account_locked"": 10}",10
NID পোর্টালে “Your account is locked” পরবর্তী কি করব?,account_locked,account_locked,এনআইডিতে “Your account has been locked” আমাকে কী করতে হবে?,True,1.0,"{""account_locked"": 10}",10
এনআইডি লগইনে অ্যাকাউন্ট ব্লক হলে কী পদক্ষেপ নিতে হবে?,account_locked,account_locked,এনআইডি অনলাইন অ্যাকাউন্ট লক হলে কী ধরণের পদক্ষেপ নিতে হবে?,True,1.0,"{""account_locked"": 10}",10
এনআইডি অ্যাকাউন্ট লক সমস্যা থেকে বের হতে কী উপায় আছে?,account_locked,account_locked,এনআইডি অ্যাকাউন্ট লক থেকে মুক্ত করার উপায় কী?,True,1.0,"{""account_locked"": 10}",10
অ্যাকাউন্ট লকড হওয়ায় এনআইডিতে যাচাই করা যাচ্ছে না কী করতে হবে?,account_locked,account_locked,অ্যাকাউন্ট লক হওয়ায় এনআইডি অনলাইনে ঢুকতে পারছি না কি করতে হবে?,True,1.0,"{""account_locked"": 10}",10
এনআইডি সাইটে ভুল ইনফো দেয়ায় অ্যাকাউন্ট লক কীভাবে ঠিক হবে?,account_locked,account_locked,এনআইডি অনলাইন লকড অ্যাকাউন্ট কিভাবে ঠিক করব?,True,1.0,"{""account_locked"": 10}",10
আমার এনআইডি অ্যাকাউন্ট লক খুলতে হলে কী করতে হয়?,account_locked,account_locked,"এনআইডি অ্যাকাউন্ট ইস্যু: লক হয়েছে, কিভাবে খুলবো?",True,1.0,"{""account_locked"": 10}",10
এনআইডি সার্ভিসে অ্যাকাউন্ট লক হলে তা খুলবার নিয়ম কী?,account_locked,account_locked,আমার এনআইডি অ্যাকাউন্ট লক খুলতে হলে কী করতে হয়?,True,1.0,"{""account_locked"": 10}",10
"এনআইডি অনলাইনে একাউন্ট লক হয়েছে, কিভাবে খুলবো?",account_locked,account_locked,"এনআইডি অ্যাকাউন্ট ইস্যু: লক হয়েছে, কিভাবে খুলবো?",True,0.9,"{""account_locked"": 9, ""account_locked_unlock_request"": 1}",10
এনআইডি অ্যাকাউন্ট লক হয়েছে রিসেট করার পদ্ধতি কী?,account_locked,account_locked,অ্যাকাউন্ট লক এনআইডি তে কিভাবে পুনরায় প্রবেশ সম্ভব?,True,1.0,"{""account_locked"": 10}",10
"আমার এনআইডি একাউন্ট লক হয়ে গেছে, কিভাবে আনলক করবো?",account_locked,account_locked,এনআইডি ওয়েবসাইটে আমার অ্যাকাউন্টে লক পড়ে গেছে; কীভাবে আনলক করব?,True,0.8,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
"এনআইডি অ্যাকাউন্ট ইস্যু: লক হয়েছে, কিভাবে খুলবো?",account_locked,account_locked,"এনআইডি অনলাইনে একাউন্ট লক হয়েছে, কিভাবে খুলবো?",True,1.0,"{""account_locked"": 10}",10
"আমার এনআইডি লগইন হচ্ছে না, একাউন্ট লক হয়েছে।",account_locked,account_locked,"এনআইডি একাউন্ট লক হয়ে গেছে, সাহায্য চাই।",True,0.9,"{""account_locked"": 9, ""account_locked_unlock_request"": 1}",10
এনআইডি পোর্টালে লকড দেখালে কীভাবে পুনরায় চেষ্টা করব?,account_locked,account_locked,"অ্যাকাউন্ট লক হয়ে এনআইডি পোর্টালে ঢুকতে পারছি না, কিভাবে সমাধান করব?",True,0.9,"{""account_locked"": 9, ""account_locked_unlock_request"": 1}",10
এনআইডি লগইন অ্যাকাউন্ট লক সমস্যা; অফিসিয়াল গাইড কী?,account_locked,account_locked,এনআইডি লগইন লক সমস্যা অফিসিয়াল সমাধান কী?,True,1.0,"{""account_locked"": 10}",10
