question,tag_clean,rank,final_score,composite_score,production_recommended,audit_status,reason_code,row_id,original_tag,e5_margin,gemma_margin,token_alignment,artifact_score,rationale,review_decision,review_reason_code,review_rationale
নিজের নামের বানান ঠিক করতে হলে কি কি ডকুমেন্টস জমা দিতে হবে?,name_correction_in_nid_card,1,0.7333698276462767,0.6863174442897373,True,audited,clean,13129,name_correction_in_nid_card,0.0127845406532287,0.1350651383399963,0.1666666666666666,0.0,নিজের নামের বানান ঠিক করতে কোন ডকুমেন্ট জমা দিতে হবে জানতে চেয়েছে; এটি নামের বানান সংশোধনের কাগজপত্র-সংক্রান্ত intent-এর সঙ্গে মেলে।,not_reviewed,,
আমার নামের বানান সঠিক করতে কোন কোন নথি সংযুক্ত করতে হবে?,name_correction_in_nid_card,2,0.6163105820420293,0.6805411614220515,True,audited,clean,13015,name_correction_in_nid_card,0.0132630467414855,0.1279425621032714,0.1666666666666666,0.0,আমার নামের বানান সঠিক করতে কোন নথি সংযুক্ত করতে হবে—নিজের নামের বানান সংশোধনের প্রয়োজনীয় নথি জানতে চাওয়া হয়েছে।,not_reviewed,,
নামের বানান সঠিক করার জন্য প্রয়োজনীয় দলিলপত্র কী কী?,name_correction_in_nid_card,3,0.6110942576829654,0.6760246857257192,True,audited,clean,13119,name_correction_in_nid_card,0.0137508511543273,0.1335092186927795,0.0,0.0,নামের বানান সঠিক করার জন্য প্রয়োজনীয় দলিলপত্র জানতে চাওয়া হয়েছে; tag-এর কেন্দ্রীয় intent-এর সঙ্গে সামঞ্জস্যপূর্ণ।,not_reviewed,,
আমার নিজের নামের বানান ঠিক করতে কাগজপত্র কী কী লাগবে?,name_correction_in_nid_card,4,0.6046927524400606,0.6699366971849329,True,audited,clean,13019,name_correction_in_nid_card,0.0140023827552795,0.1674014925956726,0.1666666666666666,0.0,আমার নিজের নামের বানান ঠিক করতে কী কাগজপত্র লাগবে জানতে চেয়েছে; পরিষ্কারভাবে নিজের নামের বানান সংশোধন প্রসঙ্গ।,not_reviewed,,
আমার নামের বানান ভুল হলে সংশোধনের জন্য কী কী দলিল প্রয়োজন হয়?,name_correction_in_nid_card,5,0.5951268668396269,0.6619081360820801,True,audited,clean,13012,name_correction_in_nid_card,0.0081024765968322,0.0690454244613647,0.1666666666666666,0.0,আমার নামের বানান ভুল হলে সংশোধনের জন্য কী দলিল প্রয়োজন—নিজের নামের বানান সংশোধন ও নথির প্রশ্ন।,not_reviewed,,
"নামের বানান সংশোধন করতে চাই, কাগজপত্র কি কি লাগবে?",name_correction_in_nid_card,6,0.5942601150367781,0.6614318347074987,True,audited,clean,13111,name_correction_in_nid_card,0.0139381289482116,0.088386595249176,0.0,0.0,নামের বানান সংশোধন করতে চাই এবং কাগজপত্র জানতে চেয়েছে; tag intent-এর সঙ্গে সরাসরি মেলে।,not_reviewed,,
জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কাগজপত্র কী চাই?,name_correction_in_nid_card,7,0.5926863621666679,0.6583386772606559,True,audited,clean,13080,name_correction_in_nid_card,0.0167856812477111,0.0423511266708374,0.1666666666666666,0.0,জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কাগজপত্র জানতে চেয়েছে; NID name spelling correction-এর পরিষ্কার উদাহরণ।,not_reviewed,,
নামের বানান ভুল সংশোধন করতে হলে কী কী ডকুমেন্ট দরকার হয়?,name_correction_in_nid_card,8,0.5917204857430832,0.6593358160715137,True,audited,clean,13108,name_correction_in_nid_card,0.0098673701286315,0.0910685658454895,0.0,0.0,নামের বানান ভুল সংশোধন করতে কী ডকুমেন্ট দরকার তা জানতে চাওয়া হয়েছে; বিষয়টি নামের বানান সংশোধনের কাগজপত্র।,not_reviewed,,
নামের বানান ঠিক করতে অফিশিয়ালি কোন কোন কাগজপত্র লাগে?,name_correction_in_nid_card,9,0.5913945817263914,0.6583482286800976,True,audited,clean,13102,name_correction_in_nid_card,0.0144917368888854,0.1077141761779785,0.0,0.0,নামের বানান ঠিক করতে অফিসিয়ালি কোন কাগজপত্র লাগে জানতে চেয়েছে; সংশোধনের প্রয়োজনীয় নথি প্রসঙ্গ স্পষ্ট।,not_reviewed,,
"নামের বানান পরিবর্তন নয়, সংশোধনের জন্য কী কী কাগজপত্র চাই?",name_correction_in_nid_card,10,0.5904370587231861,0.6561179460838085,True,audited,clean,13106,name_correction_in_nid_card,0.0133348107337951,0.0944144129753112,0.0,0.0,"নামের বানান পরিবর্তন নয়, সংশোধনের জন্য কাগজপত্র জানতে চেয়েছে; name-change sibling থেকে আলাদা করে tag intent পরিষ্কার করেছে।",not_reviewed,,
জাতীয় পরিচয়পত্রে নামের ভুল বানান ঠিক করতে কী কী কাগজপত্র চাই?,name_correction_in_nid_card,11,0.5842647090733267,0.6518547994865656,True,audited,clean,13084,name_correction_in_nid_card,0.0083982348442077,0.0516802668571472,0.0,0.0,জাতীয় পরিচয়পত্রে নামের ভুল বানান ঠিক করার কাগজপত্র জানতে চাওয়া হয়েছে; NID নামের বানান সংশোধনের clean উদাহরণ।,not_reviewed,,
জাতীয় পরিচয়পত্রে নাম ঠিক করার জন্য যে নথি লাগে সেগুলো কী?,name_correction_in_nid_card,12,0.5825246716741053,0.6491838111429508,True,audited,clean,13064,name_correction_in_nid_card,0.0117136240005493,0.0715565085411071,0.0,0.0,জাতীয় পরিচয়পত্রে নাম ঠিক করার প্রয়োজনীয় নথি জানতে চেয়েছে; NID name correction-এর intent-এর সঙ্গে মেলে।,not_reviewed,,
জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কি কি evidence দরকার?,name_correction_in_nid_card,13,0.5809529452591622,0.6484070291720766,True,audited,clean,13081,name_correction_in_nid_card,0.0158693194389343,0.0672037005424499,0.1666666666666666,0.0,জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে evidence/প্রমাণ কী দরকার জানতে চেয়েছে; সংশোধনের নথিপত্র প্রসঙ্গ।,not_reviewed,,
এনআইডিতে নিজ নাম ঠিক করতে কী কী কাগজপত্র প্রয়োজন?,name_correction_in_nid_card,14,0.579734383254483,0.646648669307017,True,audited,clean,13056,name_correction_in_nid_card,0.0075225830078125,0.0854492783546447,0.0,0.0,এনআইডিতে নিজ নাম ঠিক করতে কী কাগজপত্র প্রয়োজন জানতে চেয়েছে; নিজের NID নাম সংশোধনের স্পষ্ট উদাহরণ।,not_reviewed,,
"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",name_correction_in_nid_card,15,0.5793889998096247,0.6480131348824854,True,audited,clean,13103,name_correction_in_nid_card,0.0121488571166992,0.1071277260780334,0.0,0.0,নামের বানান ঠিক করার আবেদন করতে কী দলিল লাগবে জানতে চেয়েছে; নামের বানান সংশোধনের প্রয়োজনীয় কাগজপত্র প্রসঙ্গ।,not_reviewed,,
নামের বাংলা বানান শুদ্ধ করতে কোন কোন কাগজ জমা দিতে হবে?,name_correction_in_nid_card,16,0.5772889962269645,0.6445948165342821,True,audited,clean,13100,name_correction_in_nid_card,0.0157142281532287,0.1212039589881897,0.1666666666666666,0.0,নামের বাংলা বানান শুদ্ধ করতে কোন কাগজ জমা দিতে হবে জানতে চেয়েছে; নিজের নামের বানান সংশোধনের নথি প্রসঙ্গে যথাযথ।,not_reviewed,,
নিজের নামের ভুল বানান সংশোধনের সময় কোন নথি দিতে হবে?,name_correction_in_nid_card,17,0.5770172259368114,0.6455320460859021,True,audited,clean,13130,name_correction_in_nid_card,0.0100010633468627,0.0908090472221374,0.0,0.0,নিজের নামের ভুল বানান সংশোধনের সময় কোন নথি দিতে হবে জানতে চেয়েছে; tag intent পরিষ্কার।,not_reviewed,,
জাতীয় পরিচয় পত্রে নিজের নাম সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হয়?,name_correction_in_nid_card,18,0.5694168063805402,0.6378585428799022,True,audited,clean,13061,name_correction_in_nid_card,0.0075829625129699,0.0336570739746093,0.0,0.0,জাতীয় পরিচয় পত্রে নিজের নাম সংশোধনের জন্য কী কাগজপত্র জমা দিতে হয় জানতে চেয়েছে; NID own-name correction intent।,not_reviewed,,
আমার নামের বানান সংশোধনের নথিপত্র সম্পর্কে জানতে চাই।,name_correction_in_nid_card,19,0.5649702658547298,0.6340357806438837,True,audited,clean,13014,name_correction_in_nid_card,0.0135332345962524,0.0592586398124694,0.1666666666666666,0.0,আমার নামের বানান সংশোধনের নথিপত্র সম্পর্কে জানতে চেয়েছে; প্রশ্নটি tag-এর মূল intent-এর সঙ্গে মেলে।,not_reviewed,,
"আমার নিজের নামের বানান ভুল আছে, সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হবে?",name_correction_in_nid_card,20,0.5648230216967444,0.6348047081291862,True,audited,clean,13021,name_correction_in_nid_card,0.0051379799842834,0.0694597363471984,0.1666666666666666,0.0,আমার নিজের নামের বানান ভুল আছে এবং সংশোধনের জন্য কী কাগজপত্র জমা দিতে হবে জানতে চেয়েছে; পরিষ্কার fit।,not_reviewed,,
আমার নামের ভুল বানান ঠিক করতে কোন কোন কাগজ জমা লাগবে?,name_correction_in_nid_card,21,0.5643411168556237,0.6347654288487588,True,audited,clean,13016,name_correction_in_nid_card,0.0077082514762878,0.1086930632591247,0.0,0.0,আমার নামের ভুল বানান ঠিক করতে কোন কাগজ জমা লাগবে জানতে চেয়েছে; নিজের নামের বানান সংশোধনের নথি প্রসঙ্গ।,not_reviewed,,
এনআইডিতে নাম শুদ্ধিকরণের ক্ষেত্রে দরকারি কাগজপত্র কী কী?,name_correction_in_nid_card,22,0.5639660086194093,0.6339456766680404,True,audited,clean,13046,name_correction_in_nid_card,0.0054174065589904,0.075510025024414,0.0,0.0,এনআইডিতে নাম শুদ্ধিকরণের দরকারি কাগজপত্র জানতে চেয়েছে; NID name correction-এর পরিষ্কার উদাহরণ।,not_reviewed,,
