question,tag_clean,rank,final_score,composite_score,production_recommended,audit_status,reason_code,row_id,original_tag,e5_margin,gemma_margin,token_alignment,artifact_score,rationale
পোস্টাল ভোট BD-তে SMS OTP ইনবক্সে আসতে আনুমানিক কতক্ষণ লাগে?,otp_delivery_time,1,0.7537596182319162,0.710305433214019,True,audited,clean,52700,otp_delivery_time,0.01799553632736206,0.10450214147567749,0.2857142857142857,0.0,Self-contained question about how long an SMS OTP takes to arrive in the inbox for Postal Vote BD.
পোস্টাল ভোট অ্যাপে OTP পেতে কি কয়েক মিনিট লাগতে পারে?,otp_delivery_time,2,0.6436916035678842,0.7079663260291601,True,audited,clean,52730,otp_delivery_time,0.021127700805664062,0.09645313024520874,0.14285714285714285,0.0,"Clearly asks whether receiving the OTP in the Postal Vote app can take a few minutes, matching OTP delivery-time intent."
পোস্টাল ভোটিং সিস্টেমের OTP পেতে আনুমানিক কত মিনিট অপেক্ষা করব?,otp_delivery_time,3,0.6419598098007905,0.7079899892159811,True,audited,clean,52757,otp_delivery_time,0.01950019598007202,0.11667138338088989,0.2857142857142857,0.0,Directly asks the approximate waiting time to receive an OTP in the postal voting system.
পোস্টাল ভোট বিডি অ্যাপে OTP আসতে কতক্ষণ সময় লাগে?,otp_delivery_time,4,0.6376259483410122,0.7040875801134805,True,audited,clean,47499,otp_delivery_time,0.016004741191864014,0.07702630758285522,0.14285714285714285,0.0,Direct clean example asking how long OTP arrival takes in the Postal Vote BD app.
পোস্টাল ভোট BD অ্যাপে OTP পেতে সাধারণত কতক্ষণ অপেক্ষা করতে হয়?,otp_delivery_time,5,0.6357135030702556,0.703393710665815,True,audited,clean,52697,otp_delivery_time,0.016157925128936768,0.09244263172149658,0.14285714285714285,0.0,Asks the usual wait time to get an OTP in the Postal Vote BD app; self-contained and on tag.
নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপের ওটিপি পেতে আনুমানিক সময় কত?,otp_delivery_time,6,0.6343545525365042,0.7010500094091237,True,audited,clean,52732,otp_delivery_time,0.02272862195968628,0.09692627191543579,0.14285714285714285,0.0,Asks the estimated time to receive the OTP for the Election Commission postal vote app.
ইসি’র পোস্টাল ভোট সেবার OTP পাওয়ায় সাধারণত কেমন সময় লাগে?,otp_delivery_time,7,0.6307468193841392,0.6977170881271009,True,audited,clean,52755,otp_delivery_time,0.02096503973007202,0.12658190727233887,0.14285714285714285,0.0,Intent is clear: asks the usual time needed to receive an OTP for the EC postal vote service.
পোস্টাল ভোট BD OTP পৌঁছাতে কত সময় ধরে অপেক্ষা করতে হয়?,otp_delivery_time,8,0.6290170962960262,0.6971600801314367,True,audited,clean,52721,otp_delivery_time,0.01666867733001709,0.08652067184448242,0.14285714285714285,0.0,Clearly asks how long to wait for a Postal Vote BD OTP to arrive.
নির্বাচন কমিশনের পোস্টাল ভোট অ্যাপের OTP ইনবক্সে আসার সময় সাধারণত কত?,otp_delivery_time,9,0.625053883606016,0.6925562159789294,True,audited,clean,52786,otp_delivery_time,0.01902371644973755,0.07056909799575806,0.2857142857142857,0.0,Asks the usual time for an OTP to arrive in the inbox for the Election Commission postal vote app.
পোস্টাল ভোট BD OTP আসতে কত মিনিট সময় নেয় সাধারণত?,otp_delivery_time,10,0.6222251545818825,0.6907329970454708,True,audited,clean,52766,otp_delivery_time,0.014073431491851807,0.08741992712020874,0.14285714285714285,0.0,Self-contained question about how many minutes a Postal Vote BD OTP usually takes to arrive.
পোস্টাল ভোট BD-র যাচাইকরণ OTP ইনবক্সে আসতে সময় কত?,otp_delivery_time,11,0.6217080546836901,0.6899740329409904,True,audited,clean,52728,otp_delivery_time,0.014039039611816406,0.06218230724334717,0.2857142857142857,0.0,Asks how long a verification OTP takes to arrive in the inbox for Postal Vote BD.
