question,tag,top1_neighbor_tag,top1_neighbor_question,top1_correct,own_share_top_k,neighbor_tag_dist,audit_top_k
নিজের নামের বানান ঠিক করতে হলে কি কি ডকুমেন্টস জমা দিতে হবে?,name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের বানান সঠিক করতে কোন কোন নথি সংযুক্ত করতে হবে?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
আমার নামের বানান সঠিক করতে কোন কোন নথি সংযুক্ত করতে হবে?,name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের বানান ঠিক করার সময় কোন নথিপত্র দেখাতে হবে?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
নামের বানান সঠিক করার জন্য প্রয়োজনীয় দলিলপত্র কী কী?,name_correction_in_nid_card,name_correction_in_nid_card,"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",True,1.0,"{""name_correction_in_nid_card"": 10}",10
আমার নিজের নামের বানান ঠিক করতে কাগজপত্র কী কী লাগবে?,name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের ভুল বানান ঠিক করতে কোন কোন কাগজ জমা লাগবে?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
আমার নামের বানান ভুল হলে সংশোধনের জন্য কী কী দলিল প্রয়োজন হয়?,name_correction_in_nid_card,name_correction_in_nid_card,নামের বানান ভুল সংশোধন করতে হলে কী কী ডকুমেন্ট দরকার হয়?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
"নামের বানান সংশোধন করতে চাই, কাগজপত্র কি কি লাগবে?",name_correction_in_nid_card,name_correction_in_nid_card,"নামের বানান পরিবর্তন নয়, সংশোধনের জন্য কী কী কাগজপত্র চাই?",True,1.0,"{""name_correction_in_nid_card"": 10}",10
জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কাগজপত্র কী চাই?,name_correction_in_nid_card,name_correction_in_nid_card,জাতীয় পরিচয়পত্রে নামের ভুল বানান ঠিক করতে কী কী কাগজপত্র চাই?,True,0.9,"{""name_correction_in_nid_card"": 9, ""parents_name_correction_new"": 1}",10
নামের বানান ভুল সংশোধন করতে হলে কী কী ডকুমেন্ট দরকার হয়?,name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের বানান ভুল হলে সংশোধনের জন্য কী কী দলিল প্রয়োজন হয়?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
নামের বানান ঠিক করতে অফিশিয়ালি কোন কোন কাগজপত্র লাগে?,name_correction_in_nid_card,name_correction_in_nid_card,"নামের বানান সংশোধন করতে চাই, কাগজপত্র কি কি লাগবে?",True,1.0,"{""name_correction_in_nid_card"": 10}",10
"নামের বানান পরিবর্তন নয়, সংশোধনের জন্য কী কী কাগজপত্র চাই?",name_correction_in_nid_card,name_correction_in_nid_card,"নামের বানান সংশোধন করতে চাই, কাগজপত্র কি কি লাগবে?",True,1.0,"{""name_correction_in_nid_card"": 10}",10
জাতীয় পরিচয়পত্রে নামের ভুল বানান ঠিক করতে কী কী কাগজপত্র চাই?,name_correction_in_nid_card,name_correction_in_nid_card,জাতীয় পরিচয়পত্রে নামের ভুল বানান শোধরাতে কোন কাগজ লাগবে?,True,0.9,"{""name_correction_in_nid_card"": 9, ""parents_name_correction_new"": 1}",10
জাতীয় পরিচয়পত্রে নাম ঠিক করার জন্য যে নথি লাগে সেগুলো কী?,name_correction_in_nid_card,name_correction_in_nid_card,জাতীয় পরিচয়পত্রে নাম ঠিক করার সময় কোন কাগজপত্র দেখাতে হয়?,True,0.8,"{""name_correction_in_nid_card"": 8, ""spouse_name_correction_new"": 2}",10
জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কি কি evidence দরকার?,name_correction_in_nid_card,name_correction_in_nid_card,জাতীয় পরিচয়পত্রে নামের বানান শুদ্ধ করতে কাগজপত্র কী চাই?,True,0.9,"{""name_correction_in_nid_card"": 9, ""spouse_name_correction_new"": 1}",10
এনআইডিতে নিজ নাম ঠিক করতে কী কী কাগজপত্র প্রয়োজন?,name_correction_in_nid_card,name_correction_in_nid_card,এনআইডিতে নাম শুদ্ধিকরণের ক্ষেত্রে দরকারি কাগজপত্র কী কী?,True,0.6,"{""name_correction_in_nid_card"": 6, ""spouse_name_correction_new"": 2, ""parents_name_correction_new"": 2}",10
"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",name_correction_in_nid_card,parents_name_correction_new,"পিতার নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",False,0.9,"{""parents_name_correction_new"": 1, ""name_correction_in_nid_card"": 9}",10
নামের বাংলা বানান শুদ্ধ করতে কোন কোন কাগজ জমা দিতে হবে?,name_correction_in_nid_card,name_correction_in_nid_card,নিজের নামের বাংলা বানান সংশোধনে কোন কোন কাগজ দরকার?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
নিজের নামের ভুল বানান সংশোধনের সময় কোন নথি দিতে হবে?,name_correction_in_nid_card,name_correction_in_nid_card,নামের বানান ভুল থাকলে সংশোধনের জন্য কোন নথি দিতে হয়?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
জাতীয় পরিচয় পত্রে নিজের নাম সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হয়?,name_correction_in_nid_card,spouse_name_correction_new,স্বামী নাম সংশোধন করার জন্য জাতীয় পরিচয়পত্রে কি কি ডকুমেন্টস দিতে হবে?,False,0.5,"{""spouse_name_correction_new"": 4, ""name_correction_in_nid_card"": 5, ""parents_name_correction_new"": 1}",10
আমার নামের বানান সংশোধনের নথিপত্র সম্পর্কে জানতে চাই।,name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের বানান ঠিক করার সময় কোন নথিপত্র দেখাতে হবে?,True,1.0,"{""name_correction_in_nid_card"": 10}",10
"আমার নিজের নামের বানান ভুল আছে, সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হবে?",name_correction_in_nid_card,name_correction_in_nid_card,আমার নামের ভুল বানান ঠিক করতে কোন কোন কাগজ জমা লাগবে?,True,0.9,"{""name_correction_in_nid_card"": 9, ""parents_name_correction_new"": 1}",10
