question,tag
How do I cancel my order?,order_cancel_self
Where is the cancel order button in the app?,order_cancel_self
What's the process to cancel an order I just placed?,order_cancel_self
Can I cancel my order from the order details page?,order_cancel_self
"Walk me through cancelling an order, please.",order_cancel_self
"Steps to cancel an order before it ships?",order_cancel_self
Is there a self-serve option to cancel my order?,order_cancel_self
"How can I cancel my order myself, online?",order_cancel_self
Where do I find the cancel order option in My Orders?,order_cancel_self
"Can I cancel my order through the website, on my own?",order_cancel_self
Procedure to cancel an order from my account?,order_cancel_self
How to cancel an order before delivery on my own?,order_cancel_self
What's the link to cancel my recent order?,order_cancel_self
Tell me the way to cancel my order from the app.,order_cancel_self
"How do I cancel an order I just placed, by myself?",order_cancel_self
"I clicked cancel but it says ""order can't be cancelled at this stage"" — what now?",order_cancel_failed
The cancel button is greyed out — why can't I cancel?,order_cancel_failed
"Tried to cancel my order but I get an error message, help?",order_cancel_failed
The cancel link in my order email isn't working.,order_cancel_failed
My cancel attempt failed with a server error — what should I do?,order_cancel_failed
The app shows the order as still active even after I cancelled it.,order_cancel_failed
"I cancelled but I'm still being charged, what's going on?",order_cancel_failed
"Cancel option doesn't appear at all on my order, even though it just shipped today.",order_cancel_failed
My order cancellation is stuck in pending and not completing.,order_cancel_failed
"I tried cancelling three times, all attempts errored out.",order_cancel_failed
"Got ""cancellation not allowed at this stage"" but the order hasn't shipped — why?",order_cancel_failed
"I cancelled, got a confirmation, then the package still arrived. What happened?",order_cancel_failed
"The cancel button just spins and nothing happens, what's wrong?",order_cancel_failed
"The system rejected my cancellation request, why?",order_cancel_failed
"My order won't cancel, despite multiple tries — what's the issue?",order_cancel_failed
Can you cancel my order for me?,order_cancel_help_request
Please cancel order #A1234 from your end.,order_cancel_help_request
Could a support agent cancel my order right away?,order_cancel_help_request
"I need you to cancel my order, I can't do it myself.",order_cancel_help_request
Can the team cancel my order on my behalf?,order_cancel_help_request
Please process the cancellation for my order from your side.,order_cancel_help_request
Could you manually cancel my order for me?,order_cancel_help_request
Can support cancel order #B7890 directly?,order_cancel_help_request
"I'd like an agent to cancel my order, please help.",order_cancel_help_request
Please initiate the cancellation for my order on your end.,order_cancel_help_request
"Cancel my order please, I'm unable to do it through the app.",order_cancel_help_request
Can someone from customer service cancel my recent order?,order_cancel_help_request
Please handle my order cancellation right now.,order_cancel_help_request
Could you complete the cancellation on order #C5678 for me?,order_cancel_help_request
"Help — please cancel my order, I'll appreciate it.",order_cancel_help_request
