question,tag_clean,rank,final_score,composite_score,production_recommended,audit_status,reason_code,row_id,original_tag,e5_margin,gemma_margin,token_alignment,artifact_score,rationale
এনআইডি অনলাইন লকড অ্যাকাউন্ট কিভাবে ঠিক করব?,account_locked,1,0.7772260161082678,0.7379129601273738,True,audited,clean,60,account_locked,0.011821448802947998,0.12485939264297485,0.16666666666666666,0.0,Directly asks how to fix a locked NID online account; matches tag intent.
এনআইডি লগইন বার্তা “অ্যাকাউন্ট লকড” সমাধান কীভাবে?,account_locked,2,0.661458396899255,0.7365455280468028,True,audited,clean,123,account_locked,0.010224461555480957,0.09678405523300171,0.3333333333333333,0.0,"Mentions NID login message ""account locked"" and asks for solution; clean fit."
এনআইডি অনলাইন পোর্টালে আমার অ্যাকাউন্ট লক হয়ে গেছে; করণীয় কী?,account_locked,3,0.6566799593926614,0.7326095941437796,True,audited,clean,58,account_locked,0.013104438781738281,0.10691934823989868,0.16666666666666666,0.0,States NID online portal account is locked and asks what to do; matches intent.
"এনআইডি পোর্টালে একাউন্ট লক হয়েছে, ঠিক করার উপায় কী?",account_locked,4,0.655159745171888,0.731745910801488,True,audited,clean,107,account_locked,0.012249231338500977,0.07457965612411499,0.16666666666666666,0.0,Asks the way to fix a locked account on the NID portal; clean fit.
NID সাইটে অ্যাকাউন্ট লকড পরবর্তী করণীয় কী?,account_locked,5,0.6382988467966263,0.7152857054582779,True,audited,clean,17,account_locked,0.010726332664489746,0.10954886674880981,0.16666666666666666,0.0,General question about what to do after NID site account is locked; no excluded detail.
"এনআইডি অনলাইন পোর্টালে “আপনার একাউন্ট লক করা হয়েছে” মেসেজ দেখায়, করণীয় কি?",account_locked,6,0.6380263685043872,0.7165934280781887,True,audited,clean,59,account_locked,0.013624846935272217,0.09411466121673584,0.0,0.0,Describes account locked message in NID portal and asks next action; fits tag.
এনআইডি লগইনে “আপনার অ্যাকাউন্ট লকড” বার্তা আসছে সমাধান কী?,account_locked,7,0.6332242782678281,0.7128356102488089,True,audited,clean,133,account_locked,0.010963857173919678,0.08607912063598633,0.0,0.0,NID login shows account locked message and asks for solution; matches tag.
এনআইডি অনলাইন অ্যাকাউন্ট লক হলে কী ধরণের পদক্ষেপ নিতে হবে?,account_locked,8,0.6331229337916225,0.7115579324275427,True,audited,clean,53,account_locked,0.011979341506958008,0.10759282112121582,0.0,0.0,Asks what steps to take when an NID online account is locked; clean self-help intent.
অ্যাকাউন্ট লক হওয়ায় এনআইডি অনলাইনে ঢুকতে পারছি না কি করতে হবে?,account_locked,9,0.6256685539781046,0.7053780897287768,True,audited,clean,25,account_locked,0.012329041957855225,0.05095797777175903,0.0,0.0,Cannot access NID online because account is locked and asks what to do; fits intent.
এনআইডি একাউন্ট লক দেখালে কি করতে হবে?,account_locked,10,0.6250981086852326,0.7043074568161285,True,audited,clean,86,account_locked,0.011936426162719727,0.08915585279464722,0.0,0.0,Asks what to do when NID account shows locked; clean match.
"অ্যাকাউন্ট লক হয়ে এনআইডি পোর্টালে ঢুকতে পারছি না, কিভাবে সমাধান করব?",account_locked,11,0.6219911949016486,0.7023039555452905,True,audited,clean,27,account_locked,0.011403143405914307,0.04713934659957886,0.0,0.0,Locked account prevents entry to NID portal and asks how to solve; matches tag.
এনআইডি পোর্টালে “অ্যাকাউন্টটি লক করা” দেখালে কি করতে হবে?,account_locked,12,0.6190819730647622,0.6995095052995758,True,audited,clean,114,account_locked,0.011561453342437744,0.07937520742416382,0.0,0.0,NID portal shows account locked and asks what to do; clean fit.
"এনআইডি পোর্টালে একাউন্ট লক দেখাচ্ছে, এখন কী করবো?",account_locked,13,0.6153455037469504,0.6963625402965483,True,audited,clean,106,account_locked,0.011653542518615723,0.06067401170730591,0.0,0.0,Account lock is showing on NID portal and asks current action; matches intent.
এনআইডি পোর্টালে অ্যাকাউন্ট লক হয়ে গেলে কোথা থেকে শুরু করব?,account_locked,14,0.6150270103706953,0.6954667399892213,True,audited,clean,101,account_locked,0.010053575038909912,0.07538336515426636,0.0,0.0,Asks where to start after NID portal account is locked; general self-help fit.
এনআইডি অ্যাকাউন্ট লক; আনলকের জন্য কী করতে হবে?,account_locked,15,0.614822499388646,0.6952644648064296,True,audited,clean,75,account_locked,0.008481025695800781,0.09042423963546753,0.0,0.0,"Asks what to do to unlock a locked NID account; self-help, not agent request."
