question,tag,top1_neighbor_tag,top1_neighbor_question,top1_correct,own_share_top_k,neighbor_tag_dist,audit_top_k
অ্যাকাউন্ট লকড থাকলে কি নির্দিষ্ট সময়ে নিজে খুলে যায়?,account_locked_retrials,account_locked_unlock_request,"একাউন্ট লক হয়ে পড়েছে, আপনি কি তৎক্ষণাৎ খুলে দিতে পারবেন?",False,0.5,"{""account_locked_unlock_request"": 5, ""account_locked_retrials"": 5}",10
"আমার এনআইডি অনলাইন একাউন্ট লকড হয়েছে, এখনই কি আপনারা আনলক করে দিতে পারবেন?",account_locked_unlock_request,account_locked,"আমার এনআইডি একাউন্ট লক হয়ে গেছে, কিভাবে আনলক করবো?",False,0.2,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
"এনআইডি একাউন্ট ব্লকড, এখনি কি ম্যানুয়ালি খুলে দেওয়া সম্ভব?",account_locked_unlock_request,account_locked,"এনআইডি অ্যাকাউন্ট ইস্যু: লক হয়েছে, কিভাবে খুলবো?",False,0.7,"{""account_locked"": 3, ""account_locked_unlock_request"": 7}",10
"এনআইডি সাইটে অ্যাকাউন্ট ব্লক হয়ে গেছে, এইমাত্র কি আনলক করে দেবেন?",account_locked_unlock_request,account_locked,এনআইডি ওয়েবসাইটে আমার অ্যাকাউন্টে লক পড়ে গেছে; কীভাবে আনলক করব?,False,0.2,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
এনআইডিতে নামের বানান ঠিক করতে প্রমাণ হিসেবে কী কী নথি চলে?,name_correction_in_nid_card,parents_name_correction_new,এনআইডিতে মায়ের নামের বানান সংশোধন করতে কী কী প্রমাণ লাগবে?,False,0.7,"{""parents_name_correction_new"": 2, ""name_correction_in_nid_card"": 7, ""spouse_name_correction_new"": 1}",10
জাতীয় পরিচয় পত্রে নিজের নাম সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হয়?,name_correction_in_nid_card,spouse_name_correction_new,স্বামী নাম সংশোধন করার জন্য জাতীয় পরিচয়পত্রে কি কি ডকুমেন্টস দিতে হবে?,False,0.4,"{""spouse_name_correction_new"": 4, ""name_correction_in_nid_card"": 4, ""parents_name_correction_new"": 2}",10
"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",name_correction_in_nid_card,parents_name_correction_new,"পিতার নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",False,0.9,"{""parents_name_correction_new"": 1, ""name_correction_in_nid_card"": 9}",10
Postal Vote BD অ্যাপ থেকে OTP কি সাথে সাথে না এসে একটু সময় নেয়?,otp_delivery_time,otp_not_received,Postal Vote BD অ্যাপে OTP না এলে কতো সময় অপেক্ষা করে আবার নেব?,False,0.6,"{""otp_not_received"": 4, ""otp_delivery_time"": 6}",10
পোস্টাল ভোট BD তে OTP না এলে রিসেন্ডের সময় ব্যবধান কত?,otp_not_received,otp_delivery_time,পোস্টাল ভোট BD অ্যাপে রিসেন্ড দিলে ওটিপি আসতে কতক্ষণ লাগে?,False,0.5,"{""otp_delivery_time"": 5, ""otp_not_received"": 5}",10
পোস্টাল ভোট অ্যাপে কোড না এলে কতক্ষণ অপেক্ষা করতে হয়?,otp_not_received,otp_delivery_time,পোস্টাল ভোটিং অ্যাপে সিকিউরিটি কোড পেতে কতক্ষণ ধৈর্য ধরতে হবে?,False,0.0,"{""otp_delivery_time"": 10}",10
নতুন এনআইডি কার্ডে পিতার নামে ভুল সংশোধন করতে কি ডকুমেন্টস লাগবে?,parents_name_correction_new,spouse_name_correction_new,এনআইডি কার্ডে স্বামীর নাম সংশোধনের জন্য কি ডকুমেন্টস লাগবে?,False,0.4,"{""spouse_name_correction_new"": 6, ""parents_name_correction_new"": 4}",10
"পিতার নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",parents_name_correction_new,name_correction_in_nid_card,"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",False,0.2,"{""name_correction_in_nid_card"": 8, ""parents_name_correction_new"": 2}",10
বাংলাদেশের জাতীয় পরিচয়পত্রে পিতার নাম সংশোধনের জন্য কি কি কাগজপত্র প্রয়োজন?,parents_name_correction_new,spouse_name_correction_new,জাতীয় পরিচয়পত্রে স্বামী নাম সংশোধনের জন্য কি কি কাগজপত্র প্রয়োজন?,False,0.4,"{""spouse_name_correction_new"": 5, ""parents_name_correction_new"": 4, ""name_correction_in_nid_card"": 1}",10
বাবামার নামের ভুল সংশোধনের প্রয়োজনীয় কাগজপত্র কী কী?,parents_name_correction_new,name_correction_in_nid_card,নামের বানান ভুল সংশোধন করতে হলে কী কী ডকুমেন্ট দরকার হয়?,False,0.5,"{""name_correction_in_nid_card"": 5, ""parents_name_correction_new"": 5}",10
