question,tag,top1_neighbor_tag,top1_neighbor_question,top1_correct,own_share_top_k,neighbor_tag_dist,audit_top_k
এনআইডি পোর্টালের ইউজার লকড; আনলক করতে কী নির্দেশনা আছে?,account_locked,account_locked_unlock_request,এনআইডি সেবা পোর্টাল লক হয়ে গেলে কি কেউ তাৎক্ষণিকভাবে আনলক করে দিতে পারেন?,False,0.7,"{""account_locked_unlock_request"": 3, ""account_locked"": 7}",10
লকড একাউন্ট আনলক করার জন্য কি অপেক্ষা করা ছাড়া উপায় নেই?,account_locked_retrials,account_locked_unlock_request,একাউন্ট লক হয়ে গেছে এখনি কি আনলক করে দিতে পারবেন?,False,0.3,"{""account_locked_unlock_request"": 7, ""account_locked_retrials"": 3}",10
"আমার এনআইডি অনলাইন একাউন্ট লকড হয়েছে, এখনই কি আপনারা আনলক করে দিতে পারবেন?",account_locked_unlock_request,account_locked,"আমার এনআইডি একাউন্ট লক হয়ে গেছে, কিভাবে আনলক করবো?",False,0.2,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
"এনআইডি একাউন্ট ব্লকড, এখনি কি ম্যানুয়ালি খুলে দেওয়া সম্ভব?",account_locked_unlock_request,account_locked,"এনআইডি অ্যাকাউন্ট ইস্যু: লক হয়েছে, কিভাবে খুলবো?",False,0.5,"{""account_locked"": 5, ""account_locked_unlock_request"": 5}",10
"এনআইডি সাইটে অ্যাকাউন্ট ব্লক হয়ে গেছে, এইমাত্র কি আনলক করে দেবেন?",account_locked_unlock_request,account_locked,এনআইডি ওয়েবসাইটে আমার অ্যাকাউন্টে লক পড়ে গেছে; কীভাবে আনলক করব?,False,0.2,"{""account_locked"": 8, ""account_locked_unlock_request"": 2}",10
এনআইডি সেবা পোর্টাল লক হয়ে গেলে কি কেউ তাৎক্ষণিকভাবে আনলক করে দিতে পারেন?,account_locked_unlock_request,account_locked,এনআইডি পোর্টালের ইউজার লকড; আনলক করতে কী নির্দেশনা আছে?,False,0.5,"{""account_locked"": 5, ""account_locked_unlock_request"": 5}",10
জাতীয় পরিচয় পত্রে নিজের নাম সংশোধনের জন্য কি কি কাগজপত্র জমা দিতে হয়?,name_correction_in_nid_card,spouse_name_correction_new,স্বামী নাম সংশোধন করার জন্য জাতীয় পরিচয়পত্রে কি কি ডকুমেন্টস দিতে হবে?,False,0.5,"{""spouse_name_correction_new"": 4, ""name_correction_in_nid_card"": 5, ""parents_name_correction_new"": 1}",10
"নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",name_correction_in_nid_card,parents_name_correction_new,"পিতার নামের বানান ঠিক করতে চাই, আবেদন করার জন্য কি কি দলিল লাগবে?",False,0.9,"{""parents_name_correction_new"": 1, ""name_correction_in_nid_card"": 9}",10
Postal Vote BD অ্যাপ থেকে OTP কি সাথে সাথে না এসে একটু সময় নেয়?,otp_delivery_time,otp_not_received,Postal Vote BD অ্যাপে OTP না এলে কতো সময় অপেক্ষা করে আবার নেব?,False,0.6,"{""otp_not_received"": 4, ""otp_delivery_time"": 6}",10
পোস্টাল ভোট BD তে OTP না এলে রিসেন্ডের সময় ব্যবধান কত?,otp_not_received,otp_delivery_time,পোস্টাল ভোট BD অ্যাপে রিসেন্ড দিলে ওটিপি আসতে কতক্ষণ লাগে?,False,0.5,"{""otp_delivery_time"": 5, ""otp_not_received"": 5}",10
